word	correct	predicted
Gavin	NNP	PRP
paused	VBD	.
wearily	RB	.
.	.	.

``	``	``
You	PRP	PRP
ca	MD	MD
n't	RB	RB
stay	VB	RB
here	RB	RB
with	IN	IN
me	PRP	PRP
.	.	.

It	PRP	PRP
's	VBZ	POS
late	JJ	JJ
and	CC	CC
you	PRP	PRP
said	VBD	VBD
they	PRP	PRP
'd	MD	MD
be	VB	VB
here	RB	RB
by	IN	IN
dawn	NN	NNP
''	''	''
.	.	.

You	PRP	PRP
ca	MD	MD
n't	RB	RB
make	VB	VB
me	PRP	PRP
go	VB	VB
''	''	''
.	.	.

Gavin	NNP	PRP
sank	VBD	VBP
down	RP	RB
again	RB	RB
into	IN	IN
his	PRP$	PRP$
chair	NN	NNS
and	CC	CC
began	VBD	VBD
to	TO	TO
rock	VB	NN
.	.	.

He	PRP	PRP
was	VBD	VBD
thinking	VBG	NN
of	IN	IN
Rittenhouse	NNP	NN
and	CC	CC
how	WRB	WRB
he	PRP	PRP
had	VBD	VBD
left	VBN	VBN
him	PRP	PRP
there	RB	RB
,	,	,
to	TO	TO
rock	VB	VB
to	TO	TO
death	NN	NN
on	IN	IN
the	DT	DT
porch	NN	NN
of	IN	IN
the	DT	DT
Splendide	NNP	NN
.	.	.

It	PRP	PRP
was	VBD	VBD
the	DT	DT
only	JJ	JJ
thing	NN	NN
in	IN	IN
his	PRP$	PRP$
life	NN	NN
for	IN	IN
which	WDT	WDT
he	PRP	PRP
felt	VBD	VBD
guilt	NN	.
.	.	.

Beneath	IN	IN
his	PRP$	PRP$
black	JJ	NN
shirt	NN	IN
his	PRP$	PRP$
frail	JJ	JJ
shoulders	NNS	NNS
shook	VBD	,
and	CC	CC
croaks	NNS	RB
of	IN	IN
pain	NN	PRP
broke	VBD	VBD
from	IN	IN
his	PRP$	PRP$
throat	NN	NNS
,	,	,
the	DT	DT
stored	VBN	NN
pain	NN	IN
shattering	VBG	DT
free	JJ	JJ
in	IN	IN
slow	JJ	JJ
gasps	NNS	NNS
,	,	,
terrible	JJ	JJ
to	TO	TO
see	VB	VB
.	.	.

Clayton	NNP	PRP
tried	VBD	VBD
to	TO	TO
call	VB	VB
back	RB	RB
the	DT	DT
face	NN	NN
of	IN	IN
the	DT	DT
man	NN	NN
he	PRP	PRP
had	VBD	VBD
known	VBN	VBN
.	.	.

Against	IN	IN
that	DT	DT
other	JJ	JJ
man	NN	NN
he	PRP	PRP
could	MD	MD
rally	VB	VB
his	PRP$	PRP$
anger	NN	NN
;	:	:
;	:	:
against	IN	IN
this	DT	DT
bent	JJ	JJ
man	NN	NN
in	IN	IN
the	DT	DT
chair	NN	NN
he	PRP	PRP
was	VBD	VBD
powerless	JJ	.
.	.	.

Gavin	NNP	NNP
's	POS	POS
lips	NNS	NNP
moved	VBD	VBD
so	IN	RB
that	IN	IN
Clayton	NNP	PRP
had	VBD	VBD
to	TO	TO
stoop	VB	VB
to	TO	TO
catch	VB	VB
the	DT	DT
words	NNS	NNS
.	.	.

``	``	``
Do	VB	FW
you	PRP	FW
remember	VB	FW
Big	NNP	FW
Charlie	NNP	FW
''	''	''
?	.	.
?	.	.

He	PRP	PRP
whispered	VBD	VBD
.	.	.

He	PRP	PRP
stuck	VBD	VBD
with	IN	IN
me	PRP	PRP
all	DT	PDT
these	DT	DT
years	NNS	NNS
.	.	.

Just	RB	RB
a	DT	DT
half-breed	JJ	JJ
'pache	NN	NNS
,	,	,
never	RB	RB
said	VBD	VBD
much	RB	RB
,	,	,
never	RB	RB
meant	VBD	VBD
anythin	NN	VBN
to	TO	TO
me	PRP	PRP
,	,	,
but	CC	CC
he	PRP	PRP
stuck	VBD	VBD
with	IN	IN
me	PRP	PRP
.	.	.

He	PRP	PRP
got	VBD	VBD
into	IN	IN
a	DT	DT
fight	NN	NN
with	IN	IN
Tom	NNP	NNP
English	NNP	NNP
,	,	,
your	PRP$	PRP$
brother	NN	NNP
's	POS	POS
son	NN	NN
.	.	.

It	PRP	PRP
was	VBD	VBD
a	DT	DT
fair	JJ	JJ
fight	NN	NNS
,	,	,
the	DT	DT
boy	NN	NN
provoked	VBD	,
it	PRP	PRP
--	:	:
Big	NNP	:
Charlie	NNP	PRP
told	VBD	VBD
me	PRP	PRP
so	RB	RB
.	.	.

I	PRP	PRP
believed	VBD	VBD
him	PRP	PRP
.	.	.

They	PRP	PRP
killed	VBD	MD
Big	NNP	VB
Charlie	NNP	VBN
,	,	,
dumped	VBD	CC
his	PRP$	PRP$
body	NN	NN
in	IN	IN
my	PRP$	PRP$
rose	NN	JJ
garden	NN	NN
two	CD	CD
nights	NNS	NNS
ago	RB	RB
.	.	.

My	PRP$	PRP$
men	NNS	NNS
,	,	,
they	PRP	PRP
all	DT	DT
left	VBD	NN
me	PRP	PRP
.	.	.

Just	RB	PRP
