word	correct	predicted
Gavin	NNP	PRP
paused	VBD	VBD
wearily	RB	JJ
.	.	.

``	``	``
You	PRP	PRP
ca	MD	MD
n't	RB	RB
stay	VB	VB
here	RB	RB
with	IN	IN
me	PRP	PRP
.	.	.

It	PRP	PRP
's	VBZ	VBZ
late	JJ	JJ
and	CC	CC
you	PRP	PRP
said	VBD	VBD
they	PRP	PRP
'd	MD	MD
be	VB	VB
here	RB	RB
by	IN	IN
dawn	NN	NN
''	''	''
.	.	.

You	PRP	PRP
ca	MD	MD
n't	RB	RB
make	VB	VB
me	PRP	PRP
go	VB	VB
''	''	''
.	.	.

Gavin	NNP	PRP
sank	VBD	VBD
down	RP	RB
again	RB	RB
into	IN	IN
his	PRP$	PRP$
chair	NN	NN
and	CC	CC
began	VBD	VBD
to	TO	TO
rock	VB	VB
.	.	.

He	PRP	PRP
was	VBD	VBD
thinking	VBG	VBG
of	IN	IN
Rittenhouse	NNP	NNP
and	CC	CC
how	WRB	WRB
he	PRP	PRP
had	VBD	VBD
left	VBN	VBN
him	PRP	PRP
there	RB	RB
,	,	,
to	TO	TO
rock	VB	VB
to	TO	TO
death	NN	NN
on	IN	IN
the	DT	DT
porch	NN	NN
of	IN	IN
the	DT	DT
Splendide	NNP	NN
.	.	.

It	PRP	PRP
was	VBD	VBD
the	DT	DT
only	JJ	JJ
thing	NN	NN
in	IN	IN
his	PRP$	PRP$
life	NN	NN
for	IN	IN
which	WDT	WDT
he	PRP	PRP
felt	VBD	VBD
guilt	NN	JJ
.	.	.

Beneath	IN	``
his	PRP$	PRP$
black	JJ	JJ
shirt	NN	NN
his	PRP$	PRP$
frail	JJ	JJ
shoulders	NNS	NNS
shook	VBD	VBD
and	CC	CC
croaks	NNS	VBD
of	IN	IN
pain	NN	NN
broke	VBD	VBD
from	IN	IN
his	PRP$	PRP$
throat	NN	NN
,	,	,
the	DT	DT
stored	VBN	JJ
pain	NN	NN
shattering	VBG	TO
free	JJ	VB
in	IN	IN
slow	JJ	JJ
gasps	NNS	NNS
,	,	,
terrible	JJ	JJ
to	TO	TO
see	VB	VB
.	.	.

Clayton	NNP	NNP
tried	VBD	VBD
to	TO	TO
call	VB	VB
back	RB	RB
the	DT	DT
face	NN	NN
of	IN	IN
the	DT	DT
man	NN	NN
he	PRP	PRP
had	VBD	VBD
known	VBN	VBN
.	.	.

Against	IN	``
that	DT	DT
other	JJ	JJ
man	NN	NN
he	PRP	PRP
could	MD	MD
rally	VB	VB
his	PRP$	PRP$
anger	NN	NN
;	:	:
;	:	:
against	IN	IN
this	DT	DT
bent	JJ	JJ
man	NN	NN
in	IN	IN
the	DT	DT
chair	NN	NN
he	PRP	PRP
was	VBD	VBD
powerless	JJ	JJ
.	.	.

Gavin	NNP	NNP
's	POS	POS
lips	NNS	NNS
moved	VBD	VBD
so	IN	IN
that	IN	IN
Clayton	NNP	NNP
had	VBD	VBD
to	TO	TO
stoop	VB	VB
to	TO	TO
catch	VB	VB
the	DT	DT
words	NNS	NNS
.	.	.

``	``	``
Do	VB	VBP
you	PRP	PRP
remember	VB	VB
Big	NNP	NNP
Charlie	NNP	NNP
''	''	''
?	.	.
?	.	.

He	PRP	PRP
whispered	VBD	VBD
.	.	.

He	PRP	PRP
stuck	VBD	VBN
with	IN	IN
me	PRP	PRP
all	DT	PDT
these	DT	DT
years	NNS	NNS
.	.	.

Just	RB	RB
a	DT	DT
half-breed	JJ	NN
'pache	NN	''
,	,	,
never	RB	RB
said	VBD	VBD
much	RB	JJ
,	,	,
never	RB	RB
meant	VBD	VBD
anythin	NN	VBN
to	TO	TO
me	PRP	PRP
,	,	,
but	CC	CC
he	PRP	PRP
stuck	VBD	VBN
with	IN	IN
me	PRP	PRP
.	.	.

He	PRP	PRP
got	VBD	VBD
into	IN	IN
a	DT	DT
fight	NN	NN
with	IN	IN
Tom	NNP	NNP
English	NNP	NNP
,	,	,
your	PRP$	PRP$
brother	NN	NN
's	POS	POS
son	NN	NN
.	.	.

It	PRP	PRP
was	VBD	VBD
a	DT	DT
fair	JJ	JJ
fight	NN	NN
,	,	,
the	DT	DT
boy	NN	NN
provoked	VBD	IN
it	PRP	PRP
--	:	:
Big	NNP	``
Charlie	NNP	NNP
told	VBD	VBD
me	PRP	PRP
so	RB	RB
.	.	.

I	PRP	PRP
believed	VBD	VBD
him	PRP	PRP
.	.	.

They	PRP	PRP
killed	VBD	VBD
Big	NNP	NNP
Charlie	NNP	NNP
,	,	,
dumped	VBD	VBD
his	PRP$	PRP$
body	NN	NN
in	IN	IN
my	PRP$	PRP$
rose	NN	NN
garden	NN	IN
two	CD	CD
nights	NNS	NNS
ago	RB	RB
.	.	.

My	PRP$	PRP$
men	NNS	NNS
,	,	,
they	PRP	PRP
all	DT	DT
left	VBD	VBD
me	PRP	PRP
.	.	.

Just	RB	RB
cleared	VBN	VBD
out	RP	RB
.	.	.

I	PRP	PRP
did	VBD	VBD
n't	RB	RB
understand	VB	VB
why	WRB	WRB
,	,	,
Clay	NNP	NNP
.	.	.

They	PRP	PRP
just	RB	RB
all	DT	DT
cleared	VBD	VBD
out	RP	IN
.	.	.

I	PRP	PRP
treated	VBD	VBD
them	PRP	PRP
fair	RB	VBP
''	''	''
He	PRP	PRP
wiped	VBD	VBD
his	PRP$	PRP$
lips	NNS	NNS
with	IN	IN
a	DT	DT
sleeve	NN	NN
,	,	,
then	RB	RB
stared	VBD	VBN
at	IN	IN
Clayton	NNP	NNP
in	IN	IN
a	DT	DT
childish	JJ	JJ
kind	NN	NN
of	IN	IN
wonder	NN	NN
.	.	.

``	``	``
Do	VB	VBP
you	PRP	PRP
mean	VB	VBP
''	''	''
--	:	:
he	PRP	PRP
asked	VBD	VBD
almost	RB	RB
shyly	RB	RB
--	:	:
``	``	VBD
you	PRP	PRP
want	VBP	VBP
me	PRP	PRP
to	TO	TO
go	VB	VB
with	IN	IN
you	PRP	PRP
,	,	,
wherever	WRB	CC
you	PRP	PRP
're	VBP	VBP
goin	VB	VBG
''	''	''
?	.	.
?	.	.

``	``	``
You	PRP	PRP
do	VBP	VBP
n't	RB	RB
hate	VB	VB
me	PRP	PRP
any	RB	DT
more	RBR	RBR
''	''	''
?	.	.
?	.	.

Clayton	NNP	NNP
choked	VBD	VBD
,	,	,
shook	VBD	VBD
his	PRP$	PRP$
head	NN	NN
,	,	,
murmuring	VBG	VBG
,	,	,
``	``	``
No	UH	NN
''	''	''
.	.	.

The	DT	DT
sentry	NN	NN
was	VBD	VBD
not	RB	RB
dead	JJ	JJ
.	.	.

He	PRP	PRP
was	VBD	VBD
,	,	,
in	IN	IN
fact	NN	NN
,	,	,
showing	VBG	VBG
signs	NNS	NNS
of	IN	IN
reviving	VBG	NN
.	.	.

He	PRP	PRP
had	VBD	VBD
been	VBN	VBN
carrying	VBG	IN
an	DT	DT
Enfield	NNP	JJ
rifle	NN	NN
and	CC	CC
a	DT	DT
holstered	JJ	NN
navy	NN	.
cap-and-ball	JJ	JJ
pistol	NN	JJ
.	.	.

A	DT	DT
bayonet	NN	NN
hung	VBD	VBD
in	IN	IN
a	DT	DT
belt	NN	NN
scabbard	NN	NN
.	.	.

He	PRP	PRP
was	VBD	VBD
partially	RB	RB
uniformed	JJ	VBN
in	IN	IN
a	DT	DT
cavalry	NN	NN
tunic	NN	,
and	CC	CC
hat	NN	NN
.	.	.

Mike	NNP	PRP
stripped	VBD	VBD
these	DT	DT
from	IN	IN
him	PRP	PRP
and	CC	CC
donned	VBD	VBD
them	PRP	PRP
.	.	.

He	PRP	PRP
and	CC	CC
Dean	NNP	VBD
tied	VBD	VBN
and	CC	CC
gagged	VBD	VBD
the	DT	DT
man	NN	NN
,	,	,
using	VBG	VBG
his	PRP$	PRP$
